,connectionTime,disconnectTime,siteID,spaceID,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture
885,22.591388888888886,7.539444444444444,1,108,405.0,400.0,8.0,20.0,197.0,22.59472222222222,1.0,1.8747222222222222
886,23.875555555555557,10.13361111111111,1,108,405.0,400.0,8.0,20.0,197.0,23.88138888888889,1.0,3.158888888888889
887,3.9319444444444445,21.38277777777778,1,113,467.0,400.0,16.0,40.0,169.0,3.9322222222222223,1.0,6.748611111111111
888,5.036666666666666,0.0005555555555555556,1,111,3836.0,400.0,8.0,20.0,60.0,5.039166666666667,1.0,6.036666666666666
889,5.4875,23.533055555555556,1,110,4147.0,500.0,20.0,40.0,61.0,5.49,1.0,6.504166666666666
890,5.513055555555556,0.45916666666666667,1,108,2362.0,400.0,24.0,60.0,634.0,5.517222222222222,1.0,16.079722222222223
891,5.538333333333333,23.08138888888889,1,106,2183.0,600.0,30.0,50.0,60.0,5.539166666666667,1.0,6.538333333333333
892,5.605555555555555,0.11722222222222223,1,112,3152.0,333.0,16.65,50.0,584.0,5.617500000000001,1.0,15.33888888888889
893,5.6786111111111115,23.554444444444446,1,452,483.0,400.0,8.0,20.0,60.0,5.680833333333334,1.0,6.6786111111111115
894,5.696388888888889,23.114722222222223,1,101,521.0,400.0,12.0,30.0,60.0,5.698888888888889,1.0,6.696388888888889
895,5.701944444444445,23.001944444444444,1,109,933.0,385.0,42.35,110.0,473.0,5.706388888888889,1.0,13.585277777777778
896,5.743055555555555,23.56972222222222,1,107,406.0,600.0,12.0,20.0,589.0,5.748055555555555,1.0,15.559722222222224
897,5.853055555555555,23.954444444444444,1,325,439.0,400.0,44.0,110.0,60.0,5.879444444444445,1.0,6.853055555555555
898,5.892499999999999,18.954166666666666,1,327,3163.0,275.0,22.0,80.0,551.0,5.892499999999999,1.0,15.075833333333334
899,6.015555555555555,0.5841666666666667,1,103,4275.0,280.0,56.0,200.0,638.0,6.025555555555555,1.0,16.648888888888887
900,6.042222222222222,23.4,1,114,2187.0,400.0,20.0,50.0,240.0,6.047777777777777,1.0,10.042222222222222
901,6.066388888888889,20.52027777777778,1,105,438.0,400.0,40.0,100.0,562.0,6.0713888888888885,1.0,15.433055555555555
902,6.1025,23.551666666666666,1,104,334.0,400.0,16.0,40.0,383.0,6.104444444444444,1.0,12.485833333333332
903,6.185833333333334,0.19972222222222222,1,102,344.0,400.0,8.0,20.0,60.0,6.186388888888889,1.0,7.185833333333334
904,6.340277777777778,1.0347222222222223,1,434,3737.0,250.0,45.0,180.0,484.0,6.346111111111111,1.0,14.406944444444445
905,6.388333333333334,23.66111111111111,1,316,169.0,400.0,16.0,40.0,483.0,6.389444444444445,1.0,14.438333333333334
906,6.440555555555556,0.5650000000000001,1,315,419.0,400.0,40.0,100.0,692.0,6.4430555555555555,1.0,17.973888888888887
907,6.4511111111111115,1.6808333333333332,1,332,1733.0,400.0,40.0,100.0,720.0,6.452777777777778,1.0,18.45111111111111
908,6.5441666666666665,0.33249999999999996,1,331,3519.0,600.0,12.0,20.0,545.0,6.5441666666666665,1.0,15.627500000000001
909,6.604166666666666,0.3080555555555555,1,333,385.0,400.0,16.0,40.0,595.0,6.608888888888888,1.0,16.520833333333332
910,6.651111111111112,1.669722222222222,1,444,481.0,475.0,75.05,158.0,720.0,6.658333333333334,1.0,18.65111111111111
911,6.695,18.918055555555558,1,323,,,,,,,,
912,6.731111111111111,23.449722222222224,1,329,1461.0,350.0,63.0,180.0,600.0,6.730833333333334,1.0,16.731111111111108
913,6.870833333333334,0.7875,1,318,,,,,,,,
914,6.875000000000001,23.85,1,330,2678.0,250.0,50.0,200.0,539.0,6.8775,1.0,15.858333333333333
